Exercícios,Descrição,Criado/editado por,Grupo de exercícios,Código
REMADA ALTA COM ANILHA,,,OMBRO,
REMADA ALTA COM BARRA,,,OMBRO,
REMADA ALTA COM HALTERES,,,OMBRO,
Remada Alta Cross,,,Trapézio,
REMADA ALTA CROSS OVER,,,OMBRO,
Remada alta halter,,,Trapézio,
REMADA ALTA NA BARRA GUIADA,,,OMBRO,
Remada alta Smith,,,Trapézio,
REMADA BAIXA MOVIMENTO COMPLETO,,,COSTAS,
remada cavalinho,,,Dorsal,
REMADA CAVALINHO BARRA LIVRE,,,COSTAS,
REMADA CAVALO ABERTA,,,COSTAS,
REMADA CAVALO COM BARRA E TRIANGULO,,,COSTAS,
REMADA CAVALO FECHADA,,,COSTAS,
remada cross,,,Dorsal,
Remada Cross Corda,,,Trapézio,
remada curvada,,,Dorsal,
REMADA CURVADA COM BARRA,,,COSTAS,
REMADA CURVADA COM HALTERES,,,COSTAS,
REMADA CURVADA CROSS OVER,,,COSTAS,
REMADA CURVADA NA BARRA GUIADA,,,COSTAS,
Remada Elástico,,,Dorsal,
remada em pé aberta,,,Deltóide,
remada em pé fechada,,,Trapézio,
REMADA FECHADO TRIANGULO,,,COSTAS,
remada máquina,,,Dorsal,
REMADA NA POLIA,,,COSTAS,
REMADA POLIA TRIANGULO,,,COSTAS,
remada pulley,,,Dorsal,
remada pulley aberta pronada,,,Dorsal,
remada sentada neutra,,,Dorsal,
remada sentada neutra aberta,,,Dorsal,
remada sentada pronada,,,Dorsal,
remada sentada supinada,,,Dorsal,
remada Terraband,,,Dorsal,
Remada TRX,,,Dorsal,
REMADA UNI C/ ISO FLEXAO DE BRAÇO,,,COSTAS,
REMADA UNILATERAL,,,COSTAS,
REMADA UNILATERAL CROSS OVER,,,COSTAS,
remada unilateral polia,,,Dorsal,
roda,,,Abdomen,
rosca 21,,,Bíceps,
ROSCA 21 BARRA W,,,BÍCEPS,
ROSCA 21 UNILATERAL,,,BÍCEPS,
rosca 45 pulley,,,Bíceps,
ROSCA 45º,,,BÍCEPS,
ROSCA ALTERNADA,,,BÍCEPS,
ROSCA CAMA CHINESA,,,BÍCEPS,
ROSCA CONCENTRADA,,,BÍCEPS,
rosca direta,,,Bíceps,
rosca direta barra W,,,Bíceps,
ROSCA DIRETA COM ELASTICO 5 DINA+15``,,,BÍCEPS,
ROSCA DIRETA COM HALTERES,,,BÍCEPS,
ROSCA DIRETA CROSS OVER,,,BÍCEPS,
ROSCA DIRETA EM PE COM BARRA W,,,BÍCEPS,
ROSCA DIRETA NO CROSS POLIA ALTA,,,BÍCEPS,
ROSCA DIRETA POLIA BAIXA,,,BÍCEPS,
ROSCA DIRETA UNI,,,BÍCEPS,
ROSCA DIRETA W,,,BÍCEPS,
ROSCA HUMMER,,,BÍCEPS,
ROSCA INVERSA,,,ANTEBRAÇO,
rosca invertida,,,Bíceps,
ROSCA IRETA ANILHA 4 DINA+10``,,,BÍCEPS,
rosca máquina,,,Bíceps,
rosca máquina alternada,,,Bíceps,
rosca martelo,,,Bíceps,
rosca martelo alternado,,,Bíceps,
ROSCA MARTELO BARRA,,,BÍCEPS,
ROSCA MARTELO COM BARRA,,,BÍCEPS,
ROSCA MARTELO COM HALTER,,,BÍCEPS,
ROSCA MARTELO COM HALTERES,,,BÍCEPS,
rosca martelo corda,,,Bíceps,
ROSCA MARTELO CRUZADO,,,BÍCEPS,
rosca martelo halteres,,,Bíceps,
rosca polia,,,Bíceps,
rosca polia V,,,Bíceps,
rosca punho,,,Antebraço,
ROSCA SCOTCH,,,BÍCEPS,
ROSCA SCOTH 21,,,BÍCEPS,
ROSCA SCOTH UNILATERAL,,,BÍCEPS,
rosca scott,,,Bíceps,
rosca scott máquina,,,Bíceps,
rosca simultânea,,,Bíceps,
ROSCA SIMULTANEA DIRETA NO CROSS,,,BÍCEPS,
ROSCA TRANSVERSAL,,,BÍCEPS,
Rosca Unilateral,,,Bíceps,
ROSCA UNILATERAL CROSS OVER,,,BÍCEPS,
rosca unilateral polia,,,Bíceps,
ROTACAO DE OMBRO COM ELASTICO,,,OMBRO,
rotação de punho,,,Antebraço,
rotação de tronco,,,Abdomen,
rotação externa,,,Deltóide,
rotação interna,,,Deltóide,
ROTATORES,,,OMBRO,
scott máquina,,,Bíceps,
Step,,,Aeróbico,
STIFF,,,PERNA,
subida banco,,,Quadríceps,
SUBIR E DESCER NO STEP + FLEXÃO DE QUADRIL,,,PERNA,
SUMÔ NO STEP,,,PERNA,
SUPINO DECLINADO,,,PEITO,
SUPINO DECLINADO COM HALTER,,,PEITO,
SUPINO DECLINADO HALTERES,,,PEITO,
supino fechado,,,Tríceps,
supino inclinado,,,Peitoral,
supino inclinado articulado,,,Peitoral,
supino inclinado articulado Hammer,,,Peitoral,
SUPINO INCLINADO COM BARRA,,,PEITO,
SUPINO INCLINADO COM HALTERES,,,PEITO,
SUPINO INCLINADO FECHADO,,,PEITO,
SUPINO INCLINADO HAMMER,,GERALDO RICARDO HERTEL JUNIOR,PEITO,
supino inclinado hateres,,,Peitoral,
supino inclinado máquina,,,Peitoral,
supino inclinado Smith,,,Peitoral,
supino reto,,,Peitoral,
supino reto articulado,,,Peitoral,
supino reto articulado Hammer,,,Peitoral,
